"TagID","Period","deployRiffleID","TagSize_mm","A_Axis_mm","B_Axis_mm","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","totalDistance_ft","movementDuration","DeployDate","LastRecapDate","deployID"
226001370358,"After","0",12,38,24,19,"32",29,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51056
226001370362,"After","0",12,25,18,15,"22.6",8,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51048
226001370369,"After","0",12,26,19,15,"22.6",9,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51093
226001370370,"After","3",12,25,17,13,"16",9.352,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51141
226001370371,"After","0",12,25,23,13,"22.6",7,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51038
226001370376,"After","1",12,25,17,7,"16",5.594,"Gravel","MG2",766.91,"2023-04-24 to 2024-09-24",2023-04-24,2024-09-24,50221
226001370381,"After","0",12,21,20,12,"22.6",6.5,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51015
226001370384,"After","0",12,27,20,10,"22.6",8,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51032
226001370385,"After","3",12,22,17,13,"16",6.371,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51198
226001370393,"After","0",12,31,17,12,"16",9.5,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51026
