DeployID,TagID,RecapID,RecapID_Clean,Size (mm),Location,SurveyID,Date,Notes
51278,230000111748,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51285,230000111749,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51205,231000039792,,,GRVAUG,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51213,209000132772,,,,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B. This point was added in from field sheet
50350,209000133132,,,23,GravelAug:Phase2,Deploy 2024_04,,
50351,231000039766,,,14,GravelAug:Phase2,Deploy 2024_04,,
50352,230000111608,,,32,GravelAug:Phase2,Deploy 2024_04,,
50353,226001370221,,,12,GravelAug:Phase2,Deploy 2024_04,,
50354,209000132730,,,23,GravelAug:Phase2,Deploy 2024_04,,
50355,226001370249,,,12,GravelAug:Phase2,Deploy 2024_04,,
50356,230000111711,,,32,GravelAug:Phase2,Deploy 2024_04,,
50357,226001370262,,,12,GravelAug:Phase2,Deploy 2024_04,,
50358,226001370234,,,12,GravelAug:Phase2,Deploy 2024_04,,
50359,230000111611,,,32,GravelAug:Phase2,Deploy 2024_04,,
50360,226001370207,,,12,GravelAug:Phase2,Deploy 2024_04,,
50361,228000607522,,,23,GravelAug:Phase2,Deploy 2024_04,,
50362,228000607519,,,23,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet: 50394
50363,226001370214,,,12,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet:50395
50364,230000111502,,,32,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet: 50396
50365,226001370296,,,12,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet: 50397
50366,228000607500,,,23,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet: 50399
50367,209000132759,,,23,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet: 50400
50368,231000039704,,,14,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet: 50401
50369,228000607525,,,23,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet: 50402
50370,226001370269,,,12,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet:50403
50371,230000111553,,,32,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet: 50404
50372,226001370325,,,12,GravelAug:Phase2,Deploy 2024_04,,Corrected with Eric. OldID on FieldSheet: 50405
,209000133113,,,23,GravelAug:Phase2,Deploy 2024_04,,
,226001370201,,,12,GravelAug:Phase2,Deploy 2024_04,,
,226001370208,,,12,GravelAug:Phase2,Deploy 2024_04,,
,226001370225,,,12,GravelAug:Phase2,Deploy 2024_04,,
,226001370227,,,12,GravelAug:Phase2,Deploy 2024_04,,
,226001370241,,,12,GravelAug:Phase2,Deploy 2024_04,,
,226001370247,,,12,GravelAug:Phase2,Deploy 2024_04,,
,226001370273,,,12,GravelAug:Phase2,Deploy 2024_04,,
,226001370276,,,12,GravelAug:Phase2,Deploy 2024_04,,
,228000607518,,,23,GravelAug:Phase2,Deploy 2024_04,,
,228000607523,,,23,GravelAug:Phase2,Deploy 2024_04,,
,228000607542,,,23,GravelAug:Phase2,Deploy 2024_04,,
,228000607553,,,23,GravelAug:Phase2,Deploy 2024_04,,
,228000607555,,,23,GravelAug:Phase2,Deploy 2024_04,,
,228000607574,,,23,GravelAug:Phase2,Deploy 2024_04,,
,230000111526,,,32,GravelAug:Phase2,Deploy 2024_04,,
,230000111620,,,32,GravelAug:Phase2,Deploy 2024_04,,
,230000111655,,,32,GravelAug:Phase2,Deploy 2024_04,,
,231000039792,,,14,GravelAug:Phase2,Deploy 2024_04,,
50225,226001370206,,,32,Riffle 1,Deploy 2023,4/24/2023,
50206,226001370212,,,16,Riffle 1,Deploy 2023,4/24/2023,
50298,226001370215,,,16,Riffle 1,Deploy 2023,4/24/2023,
50276,226001370219,,,32,Riffle 1,Deploy 2023,4/24/2023,
50285,226001370228,,,16,Riffle 1,Deploy 2023,4/24/2023,
50227,226001370232,,,32,Riffle 1,Deploy 2023,4/24/2023,
50296,226001370235,,,16,Riffle 1,Deploy 2023,4/24/2023,
50294,226001370237,,,32,Riffle 1,Deploy 2023,4/24/2023,
50239,226001370243,,,16,Riffle 1,Deploy 2023,4/24/2023,
50257,226001370244,,,16,Riffle 1,Deploy 2023,4/24/2023,
50209,226001370256,,,16,Riffle 1,Deploy 2023,4/24/2023,
50230,226001370264,,,32,Riffle 1,Deploy 2023,4/24/2023,
50235,226001370277,,,16,Riffle 1,Deploy 2023,4/24/2023,
50204,226001370281,,,16,Riffle 1,Deploy 2023,4/24/2023,
50215,226001370292,,,16,Riffle 1,Deploy 2023,4/24/2023,
50219,226001370318,,,16,Riffle 1,Deploy 2023,4/24/2023,
50270,226001370337,,,16,Riffle 1,Deploy 2023,4/24/2023,
50278,226001370342,,,16,Riffle 1,Deploy 2023,4/24/2023,
50245,226001370356,,,16,Riffle 1,Deploy 2023,4/24/2023,
50221,226001370376,,,16,Riffle 1,Deploy 2023,4/24/2023,
50269,228000607505,,,64,Riffle 1,Deploy 2023,4/24/2023,
50247,228000607507,,,64,Riffle 1,Deploy 2023,4/24/2023,
50251,228000607509,,,64,Riffle 1,Deploy 2023,4/24/2023,
50208,228000607513,,,64,Riffle 1,Deploy 2023,4/24/2023,
50280,228000607516,,,64,Riffle 1,Deploy 2023,4/24/2023,
50258,228000607517,,,64,Riffle 1,Deploy 2023,4/24/2023,
50273,228000607520,,,64,Riffle 1,Deploy 2023,4/24/2023,
50266,228000607524,,,64,Riffle 1,Deploy 2023,4/24/2023,
50218,228000607532,,,64,Riffle 1,Deploy 2023,4/24/2023,
50286,228000607533,,,64,Riffle 1,Deploy 2023,4/24/2023,
50255,228000607534,,,64,Riffle 1,Deploy 2023,4/24/2023,
50267,228000607535,,,64,Riffle 1,Deploy 2023,4/24/2023,
50283,228000607537,,,64,Riffle 1,Deploy 2023,4/24/2023,
