Point,E,N,Elevation,Code,SurveyID,Date,Period,TagID,RiffleID,TagSize_mm,A_Axis_mm,B_Axis_mm,C_Axis_mm,Gravelometer_mm,Weight_g,Particle_Class,Size_Class,Field_Movement,Hiding,Embedded,Buried,Notes
220,2804481.08,1266529.29,7453.65,PITRCK,Deploy 2019,4/16/2019,Before,230000111672,2,32,102,80,55,90,831,Cobble,SC1,NA,NA,NA,NA,NA
221,2804479.34,1266525.28,7453.89,PITRCK,Deploy 2019,4/16/2019,Before,230000111673,2,32,139,96,75,128,1437,Cobble,SC2,NA,NA,NA,NA,NA
222,2804478.30,1266521.35,7454.05,PITRCK,Deploy 2019,4/16/2019,Before,230000111649,2,32,150,87,55,90,1202,Cobble,SC1,NA,NA,NA,NA,NA
223,2804477.05,1266516.49,7454.31,PITRCK,Deploy 2019,4/16/2019,Before,230000111713,2,32,104,86,45,90,730,Cobble,SC1,NA,NA,NA,NA,NA
224,2804476.03,1266509.88,7454.68,PITRCK,Deploy 2019,4/16/2019,Before,230000111685,2,32,110,96,55,90,873,Cobble,SC1,NA,NA,NA,NA,NA
225,2804522.00,1266623.50,7453.79,PITRCK,Deploy 2019,4/16/2019,Before,228000607572,2,23,75,68,37,64,300,Gravel,VCG2,NA,NA,NA,NA,NA
226,2804521.07,1266618.92,7453.48,PITRCK,Deploy 2019,4/16/2019,Before,230000111599,2,32,135,120,75,128,1877,Cobble,SC2,NA,NA,NA,NA,NA
227,2804519.94,1266613.71,7453.39,PITRCK,Deploy 2019,4/16/2019,Before,230000111715,2,32,168,117,70,128,2178,Cobble,SC2,NA,NA,NA,NA,NA
228,2804518.83,1266608.47,7453.69,PITRCK,Deploy 2019,4/16/2019,Before,230000111732,2,32,210,158,107,180,3929,Cobble,LC1,NA,NA,NA,NA,NA
229,2804517.31,1266603.30,7453.9,PITRCK,Deploy 2019,4/16/2019,Before,230000111675,2,32,98,89,68,90,939,Cobble,SC1,NA,NA,NA,NA,NA
230,2804515.66,1266598.05,7453.92,PITRCK,Deploy 2019,4/16/2019,Before,228000607528,2,23,84,69,41,64,409,Gravel,VCG2,NA,NA,NA,NA,NA
231,2804514.05,1266592.30,7454.11,PITRCK,Deploy 2019,4/16/2019,Before,230000111670,2,32,95,80,51,90,627,Cobble,SC1,NA,NA,NA,NA,NA
232,2804512.44,1266586.18,7453.95,PITRCK,Deploy 2019,4/16/2019,Before,230000111696,2,32,103,89,59,90,759,Cobble,SC1,NA,NA,NA,NA,NA
233,2804511.60,1266581.42,7454.01,PITRCK,Deploy 2019,4/16/2019,Before,230000111739,2,32,99,86,33,90,557,Cobble,SC1,NA,NA,NA,NA,NA
234,2804510.60,1266574.31,7453.73,PITRCK,Deploy 2019,4/16/2019,Before,228000607506,2,23,87,72,35,64,423,Gravel,VCG2,NA,NA,NA,NA,NA
235,2804509.90,1266567.70,7453.74,PITRCK,Deploy 2019,4/16/2019,Before,230000111697,2,32,115,89,65,128,985,Cobble,SC2,NA,NA,NA,NA,NA
236,2804509.26,1266561.94,7453.71,PITRCK,Deploy 2019,4/16/2019,Before,230000111621,2,32,118,79,65,90,1151,Cobble,SC1,NA,NA,NA,NA,NA
237,2804508.84,1266555.96,7453.37,PITRCK,Deploy 2019,4/16/2019,Before,230000111730,2,32,120,114,65,128,1278,Cobble,SC2,NA,NA,NA,NA,NA
238,2804509.61,1266550.01,7453.84,PITRCK,Deploy 2019,4/16/2019,Before,230000111522,2,32,295,250,174,256,16100,Cobble,LC2,NA,NA,NA,NA,NA
239,2804509.36,1266544.14,7453.24,PITRCK,Deploy 2019,4/16/2019,Before,230000111671,2,32,110,93,42,90,657,Cobble,SC1,NA,NA,NA,NA,NA
240,2804508.39,1266538.99,7453.35,PITRCK,Deploy 2019,4/16/2019,Before,228000607554,2,23,81,64,30,64,213,Gravel,VCG2,NA,NA,NA,NA,NA
241,2804508.42,1266532.63,7453.6,PITRCK,Deploy 2019,4/16/2019,Before,230000111638,2,32,165,133,106,128,3239,Cobble,SC2,NA,NA,NA,NA,NA
242,2804507.48,1266526.87,7453.51,PITRCK,Deploy 2019,4/16/2019,Before,230000111526,2,32,119,101,43,90,1036,Cobble,SC1,NA,NA,NA,NA,NA
243,2804506.46,1266521.66,7453.64,PITRCK,Deploy 2019,4/16/2019,Before,230000111711,2,32,155,106,45,128,990,Cobble,SC2,NA,NA,NA,NA,NA
244,2804506.24,1266516.93,7453.63,PITRCK,Deploy 2019,4/16/2019,Before,230000111629,2,32,155,132,54,128,1834,Cobble,SC2,NA,NA,NA,NA,NA
245,2804505.94,1266512.42,7453.5,PITRCK,Deploy 2019,4/16/2019,Before,228000607564,2,23,108,64,45,64,477,Gravel,VCG2,NA,NA,NA,NA,NA
